ID,Labels,S-single,S-multi
1,0,0.978745363,0.958747054
2,0,0.869329256,0.843357319
3,0,0.930180619,0.903319514
4,0,0.863030951,0.849791778
5,0,0.940332832,0.910391956
6,0,0.922674504,0.899777397
7,0,0.861122769,0.865464803
8,0,0.982242785,0.963664228
9,0,0.863821367,0.85301928
10,0,0.696618665,0.623670946
11,0,0.791306545,0.740194643
12,0,0.859892017,0.774978975
13,0,0.86420578,0.781539121
14,0,0.835934929,0.733097051
15,0,0.890135781,0.855598564
16,0,0.9282776,0.893835635
17,0,0.901413113,0.88629934
18,0,0.966084319,0.946918074
19,0,0.915146033,0.88292984
20,0,0.885843508,0.866999377
21,0,0.962491185,0.93468042
22,0,0.898128863,0.878816254
23,0,0.78265051,0.725983165
24,0,0.831831693,0.771260826
25,0,0.871754857,0.789529486
26,0,0.870566347,0.772352324
27,0,0.821035724,0.698596537
28,0,0.859890502,0.843887149
29,0,0.987859847,0.982721766
30,0,0.906622647,0.889805387
31,0,0.856614079,0.840508344
32,0,0.973390359,0.936257408
33,0,0.848459777,0.834910678
34,0,0.97665572,0.934599096
35,0,0.808695408,0.73242074
36,0,0.895537716,0.833182268
37,0,0.901126739,0.840091509
38,0,0.880813977,0.844042201
39,0,0.766938748,0.705534931
40,0,0.848400453,0.821683303
41,0,0.944033244,0.918657076
42,0,0.973759743,0.946821519
43,0,0.85672152,0.828774928
44,0,0.915534246,0.875713306
45,0,0.86110494,0.823182094
46,0,0.673321186,0.539594946
47,0,0.795821275,0.714630479
48,0,0.826573985,0.741231783
49,0,0.834939923,0.755196305
50,0,0.881789382,0.796747772
51,0,0.924486229,0.92424525
52,0,0.85124343,0.839743121
53,0,0.973366517,0.946475103
54,0,0.846527954,0.843630717
55,0,0.979799807,0.949327962
56,0,0.840076193,0.771076068
57,0,0.909087779,0.849457466
58,0,0.902020755,0.845961566
59,0,0.885637388,0.83480169
60,0,0.768990206,0.69870213
61,0,0.95568582,0.937703539
62,0,0.920134635,0.897136653
63,0,0.930045706,0.901498738
64,0,0.923039348,0.897213654
65,0,0.785708887,0.69724835
66,0,0.853662306,0.773710514
67,0,0.867057433,0.780365834
68,0,0.868721245,0.778753955
69,0,0.854284723,0.742728211
70,0,0.862976125,0.847498691
71,0,0.912744179,0.880208547
72,0,0.856585413,0.815081573
73,0,0.674602875,0.522382549
74,0,0.793423998,0.683516923
75,0,0.818883963,0.705278897
76,0,0.819861115,0.720479193
77,0,0.880718546,0.757572422
78,0,0.857464567,0.867007787
79,0,0.981819647,0.975421989
80,0,0.787966558,0.685249286
81,0,0.89401903,0.838025385
82,0,0.890567362,0.822540779
83,0,0.888659022,0.824806289
84,0,0.805643878,0.761655905
85,0,0.85051656,0.859281786
86,0,0.66036943,0.606262152
87,0,0.779980389,0.752833046
88,0,0.846705908,0.797730265
89,0,0.87033379,0.80768682
90,0,0.829106953,0.759995282
91,0,0.82903083,0.749122744
92,0,0.914505091,0.865331229
93,0,0.903084638,0.848393556
94,0,0.892430941,0.83741782
95,0,0.803051751,0.765588555
96,0,0.870106941,0.785641939
97,0,0.816160908,0.740136456
98,0,0.787116806,0.711438951
99,0,0.665791141,0.55589042
100,0,0.956149719,0.928195117
101,0,0.930346297,0.904738384
102,0,0.838947462,0.808550568
103,0,0.963399866,0.960496205
104,0,0.861132432,0.840157582
105,0,0.873932627,0.851386753
106,0,0.63505575,0.503242221
107,0,0.878480623,0.817800691
109,0,0.774097504,0.716407
110,0,0.872700279,0.811200261
112,0,0.725251685,0.656747217
115,0,0.765413766,0.609905979
116,0,0.746471116,0.705928878
117,0,0.674705116,0.626870283
118,0,0.613324775,0.524340801
119,0,0.708117915,0.626950651
121,0,0.513892139,0.613393172
122,0,0.505724924,0.501288818
123,0,0.413132141,0.504545758
124,0,0.516938736,0.544279686
125,0,0.785417261,0.834289362
126,0,0.689458178,0.598032991
128,0,0.742122176,0.789415778
129,0,0.60889883,0.572870627
130,0,0.602829856,0.658684402
131,0,0.882030987,0.858086117
132,0,0.775261244,0.658711306
133,0,0.764126103,0.672032698
134,0,0.614625262,0.536259637
135,0,0.755715206,0.555176752
136,0,0.641770835,0.513634818
137,0,0.62746633,0.590145015
138,0,0.476108316,0.551080532
139,0,0.595482264,0.622708632
